code,version,date,partie,sous_partie,livre,titre,chapitre,article,type
code_civil,da6e2ae,1972-08-01,Législative,NA,9,0,8,908,inversion 1099-1
code_civil,0fef258,1976-01-01,Législative,NA,2,3,1,231,inversion 232
code_civil,0fef258,1976-01-01,Législative,NA,2,4,8,248,inversion 248-1
code_civil,0fef258,1976-01-01,Législative,NA,2,5,1,251,inversion 252-3
code_civil,0fef258,1976-01-01,Législative,NA,2,5,6,256,inversion 257
code_civil,0fef258,1976-01-01,Législative,NA,2,6,6,266,inversion 270
code_civil,2a10c56,1977-07-01,Législative,NA,8,1,5,815-1,inversion 818
code_civil,acb3b39,1979-01-01,Législative,1,7,9,2,1792-5,inversion 1799
code_civil,6ff6671,1980-07-05,Législative,NA,8,1,5,815,inversion 819
code_civil,7f08a70,1986-01-01,Législative,1,1,5,3,1153,inversion 1153-1
code_civil,abe4746,1990-01-02,Législative,2,1,0,1,2101,doublon
code_civil,2ec4edf,1994-02-01,Législative,NA,2,1,0,210,doublon
code_civil,2ec4edf,1994-02-01,Législative,NA,2,1,1,211,doublon
code_civil,2ec4edf,1994-02-01,Législative,NA,2,2,0,220-1,doublon
code_civil,2ec4edf,1994-02-01,Législative,NA,2,4,7,247,doublon
code_civil,2ec4edf,1994-02-01,Législative,NA,2,6,4,264-1,doublon
code_civil,2ec4edf,1994-02-01,Législative,NA,3,3,4,334-2,doublon
code_civil,2ec4edf,1994-02-01,Législative,NA,3,3,4,334-3,doublon
code_civil,2ec4edf,1994-02-01,Législative,NA,3,3,4,334-5,doublon
code_civil,2ec4edf,1994-02-01,Législative,NA,3,7,1,371-4,doublon
code_civil,2ec4edf,1994-02-01,Législative,NA,3,7,3,373-4,doublon
code_civil,2ec4edf,1994-02-01,Législative,NA,3,7,5,375-3,doublon
code_civil,2ec4edf,1994-02-01,Législative,NA,3,7,6,376-1,doublon
code_civil,2ec4edf,1994-02-01,Législative,NA,3,7,7,377,doublon
code_civil,2ec4edf,1994-02-01,Législative,NA,3,7,7,377-1,doublon
code_civil,2ec4edf,1994-02-01,Législative,NA,3,7,7,377-2,doublon
code_civil,dcd6ff3,1994-07-30,Législative,NA,NA,NA,NA,9-1,inversion 15
code_civil,48b3a28,1998-06-16,Législative,2,2,7,0,2270-1,doublon
code_civil,b38ba11,2001-12-04,Législative,NA,7,3,1,731,inversion 763
code_civil,b38ba11,2001-12-04,Législative,NA,9,1,3,913,inversion 916
code_civil,c70a5f3,2002-03-05,Législative,NA,3,7,3,373-3,inversion 374-1
code_civil,3d7c984,2004-06-01,Législative,2,2,8,7,2287,inversion 2293
code_civil,4046db7,2009-02-01,Législative,2,4,8,8,2488-1,inversion 2488-6
code_de_commerce,0471d26,2000-09-21,Législative,NA,2,2,8,L228-91,inversion L228-96
code_de_commerce,0471d26,2000-09-21,Législative,NA,6,1,1,L611-1,inversion L612-3
code_de_commerce,0471d26,2000-09-21,Législative,NA,6,2,0,L620-1,inversion L627-5
code_de_commerce,7f2b922,2003-01-04,Législative,NA,8,1,4,L814-8,inversion L814-10
code_de_commerce,bfb1434,2003-08-02,Législative,NA,6,2,8,L628-3,inversion L628-6
code_de_commerce,bfb1434,2003-08-02,Législative,NA,6,2,8,L628-1,inversion L628-3
code_de_commerce,bfb1434,2003-08-02,Législative,NA,6,2,8,L628-5,inversion L628-7
code_de_commerce,bfb1434,2003-08-02,Législative,NA,8,2,1,L821-1,inversion L821-7
code_de_commerce,bfb1434,2003-08-02,Législative,NA,8,2,1,L821-2,inversion L821-8
code_de_commerce,bfb1434,2003-08-02,Législative,NA,8,2,1,L821-3,inversion L821-9
code_de_commerce,bfb1434,2003-08-02,Législative,NA,8,2,2,L822-14,inversion L822-15
code_de_commerce,365e6bd,2005-07-27,Législative,NA,6,2,1,L621-1,inversion L624-10
code_de_commerce,e136fa5,2005-09-09,Législative,NA,8,1,1,L811-1,inversion L811-11-2
code_de_commerce,e136fa5,2005-09-09,Législative,NA,8,2,1,L821-3-1,inversion L821-5-1
code_de_commerce,e136fa5,2005-09-09,Législative,NA,8,2,1,L821-4,inversion L821-5-2
code_de_commerce,e136fa5,2005-09-09,Législative,NA,8,2,2,L822-15,doublon
code_de_commerce,ac44ae6,2007-03-27,Réglementaire,NA,5,2,2,R522-20,inversion R522-24
code_de_commerce,ac44ae6,2007-03-27,Réglementaire,NA,6,4,2,R642-24,inversion R642-27
code_de_commerce,ac44ae6,2007-03-27,Réglementaire,NA,6,4,2,R642-26,inversion R642-30
code_de_commerce,ac44ae6,2007-03-27,Réglementaire,NA,6,4,2,R642-35,inversion R642-36
code_de_commerce,ac44ae6,2007-03-27,Réglementaire,NA,8,2,1,R821-6,inversion R821-13
code_de_commerce,ac44ae6,2007-03-27,Réglementaire,NA,8,2,1,R821-7,inversion R821-14
code_de_commerce,ac44ae6,2007-03-27,Réglementaire,NA,8,2,2,R822-8,inversion R822-21
code_de_commerce,ac44ae6,2007-03-27,Réglementaire,NA,8,2,2,R822-10,inversion R822-17
code_de_commerce,ac44ae6,2007-03-27,Réglementaire,NA,8,2,2,R822-13,inversion R822-18
code_de_commerce,ac44ae6,2007-03-27,Réglementaire,NA,8,2,2,R822-38,inversion R822-51
code_de_commerce,ac44ae6,2007-03-27,Réglementaire,NA,8,2,2,R822-36,inversion R822-43
code_de_commerce,b3eb45c,2007-03-28,Réglementaire,NA,7,1,3,R713-2,inversion R713-30
code_de_commerce,b3eb45c,2007-03-28,Réglementaire,NA,7,1,3,R713-1,inversion R713-5
code_de_commerce,b3eb45c,2007-03-28,Réglementaire,NA,7,4,2,R742-19,inversion R742-30
code_de_commerce,b3eb45c,2007-03-28,Réglementaire,NA,7,4,2,R742-21,inversion R742-25
code_de_commerce,b3eb45c,2007-03-28,Réglementaire,NA,7,4,2,R742-23,inversion R742-26
code_de_commerce,b3eb45c,2007-03-28,Réglementaire,NA,7,5,1,R751-14,doublon
code_de_commerce,b3eb45c,2007-03-28,Réglementaire,NA,7,5,2,R752-16,inversion R752-21
code_de_commerce,b3eb45c,2007-03-28,Réglementaire,NA,7,5,2,R752-29,inversion R752-30
code_de_commerce,b3eb45c,2007-03-28,Réglementaire,NA,7,5,2,R752-22,inversion R752-32
code_de_commerce,b3eb45c,2007-03-28,Réglementaire,NA,7,5,2,R752-23,inversion R752-26
code_de_commerce,b3eb45c,2007-03-28,Réglementaire,NA,7,5,2,R752-35,inversion R752-41
code_de_commerce,b3eb45c,2007-03-28,Réglementaire,NA,7,5,2,R752-36,inversion R752-42
code_de_commerce,9020c25,2007-04-19,Réglementaire,NA,7,1,2,R712-15,inversion R712-19
code_de_commerce,105ef0d,2007-05-10,Réglementaire,NA,9,2,0,R920-1,doublon
code_de_commerce,01ad201,2008-09-01,Réglementaire,NA,8,2,1,R821-1,inversion R821-1-2
code_de_commerce,01ad201,2008-09-01,Réglementaire,NA,8,2,1,R821-14,inversion R821-14-2
code_de_commerce,01ad201,2008-09-01,Réglementaire,NA,8,2,1,R821-14-1,inversion R821-14-3
code_de_commerce,565343a,2008-11-13,Législative,NA,4,3,0,L430-5,doublon
code_de_commerce,565343a,2008-11-13,Législative,NA,4,3,0,L430-7,doublon
code_de_commerce,565343a,2008-11-13,Législative,NA,4,3,0,L430-8,doublon
code_de_commerce,565343a,2008-11-13,Législative,NA,4,3,0,L430-9,doublon
code_de_commerce,565343a,2008-11-13,Législative,NA,4,3,0,L430-10,doublon
code_de_commerce,565343a,2008-11-13,Réglementaire,NA,4,6,3,R463-12,doublon
code_de_commerce,565343a,2008-11-13,Réglementaire,NA,4,6,3,R463-13,doublon
code_de_commerce,565343a,2008-11-13,Réglementaire,NA,4,6,3,R463-14,doublon
code_de_commerce,565343a,2008-11-13,Réglementaire,NA,4,6,3,R463-15,doublon
code_de_commerce,19cd8cb,2008-11-25,Législative,NA,7,5,2,L752-18,doublon
code_de_commerce,ceeb283,2008-11-26,Réglementaire,NA,7,5,2,R752-32,inversion R752-40
code_de_commerce,ceeb283,2008-11-26,Réglementaire,NA,7,5,2,R752-34,inversion R752-41
code_de_commerce,ceeb283,2008-11-26,Réglementaire,NA,7,5,2,R752-38,inversion R752-43
code_de_commerce,5cae18c,2008-12-10,Législative,NA,8,2,1,L821-5-1,inversion L821-6
code_de_commerce,890c168,2009-01-01,Réglementaire,NA,8,2,2,R822-15,inversion R822-21-1
code_de_commerce,0e085ce,2009-01-21,Arrêtés,NA,7,4,2,A742-1,inversion A742-6
code_de_commerce,0e085ce,2009-01-21,Arrêtés,NA,7,4,2,A742-8,inversion A742-13
code_de_commerce,0e085ce,2009-01-21,Arrêtés,NA,7,4,2,A742-9,inversion A742-14
code_de_commerce,1a21181,2009-02-01,Législative,NA,8,2,1,L821-6,inversion L821-13
code_de_commerce,6ac0359,2009-07-17,Législative,NA,9,4,1,L941-2-1,inversion L943-8
code_de_commerce,1bb8bc1,2010-10-24,Législative,NA,6,2,8,L628-4,inversion L628-8
code_de_commerce,1ce0d55,2011-08-04,Arrêtés,NA,8,2,3,A823-5,inversion A823-5-2
code_de_commerce,cf5dcc1,2012-03-21,Législative,NA,4,4,1,L441-1,doublon
code_de_commerce,bcb6507,2012-03-24,Législative,NA,6,2,8,L628-2,inversion L628-7
code_de_commerce,37b56f1,2013-06-30,Réglementaire,NA,9,3,0,R930-1,doublon
code_de_commerce,57f6437,2013-10-04,Réglementaire,NA,3,2,1,R321-18-1,inversion R321-19
code_de_commerce,371db35,2014-12-18,Législative,NA,7,5,1,L751-1,doublon
code_de_commerce,371db35,2014-12-18,Législative,NA,7,5,1,L751-6,doublon
code_de_commerce,371db35,2014-12-18,Législative,NA,7,5,2,L752-14,doublon
code_de_commerce,371db35,2014-12-18,Législative,NA,7,5,2,L752-22,doublon
code_de_commerce,381b7fa,2016-01-01,Législative,NA,2,3,10,L23-10-11,doublon
code_de_commerce,381b7fa,2016-01-01,Réglementaire,NA,2,3,10,D23-10-1,doublon
code_de_commerce,2cffb00,2016-05-31,Arrêtés,NA,6,6,3,A663-21,doublon
code_de_commerce,3161a14,2016-06-17,Législative,NA,9,5,0,L950-1,doublon
code_de_commerce,6d3f46f,2016-07-29,Réglementaire,NA,8,2,2,R822-17,inversion R822-34
code_de_commerce,6d3f46f,2016-07-29,Réglementaire,NA,8,2,2,R822-19,inversion R822-35
code_de_commerce,41f775d,2018-04-01,Réglementaire,NA,2,2,3,R223-20-1,inversion R223-20-3
code_de_commerce,0488286,2018-12-07,Réglementaire,NA,7,2,2,D722-28,inversion R722-34
code_de_commerce,fce2a11,2019-11-04,Réglementaire,NA,2,2,7,D227-1,inversion R227-1-1
code_de_commerce,8530b35,2021-02-13,Réglementaire,NA,7,1,3,R713-1-1,inversion R713-62
code_de_justice_administrative,9135081,2001-01-01,Législative,NA,2,3,4,L234-1,inversion L234-5
code_de_justice_administrative,ddf03bc,2002-04-21,Réglementaire,NA,2,2,1,R221-3,doublon
code_de_justice_administrative,ddf03bc,2002-04-21,Réglementaire,NA,2,2,2,R222-11,doublon
code_de_justice_administrative,a8a16da,2005-12-22,Réglementaire,NA,2,2,6,R226-11,inversion R226-12
code_de_justice_administrative,c6a4ca8,2006-12-29,Réglementaire,NA,7,7,5,R775-1,inversion R775-5
code_de_justice_administrative,c6a4ca8,2006-12-29,Réglementaire,NA,7,7,5,R775-2,inversion R775-6
code_de_justice_administrative,c6a4ca8,2006-12-29,Réglementaire,NA,7,7,5,R775-3,inversion R775-10
code_de_justice_administrative,7750ff7,2013-12-31,Réglementaire,NA,7,7,7,R777-2,doublon
code_de_justice_administrative,edff8af,2017-07-04,Législative,NA,2,3,2,L232-1,inversion L232-3
code_de_justice_administrative,8ec3106,2020-06-23,Réglementaire,NA,3,1,1,R311-1,doublon
code_de_l'action_sociale_et_des_familles,3c13de9,2000-12-23,Législative,NA,1,3,4,L134-1,inversion L134-10
code_de_l'action_sociale_et_des_familles,3c13de9,2000-12-23,Législative,NA,2,2,5,L225-15,inversion L225-18
code_de_l'action_sociale_et_des_familles,3c13de9,2000-12-23,Législative,NA,2,3,2,L232-21,inversion L232-22
code_de_l'action_sociale_et_des_familles,3c13de9,2000-12-23,Législative,NA,2,6,2,L262-7,inversion L262-12
code_de_l'action_sociale_et_des_familles,3c13de9,2000-12-23,Législative,NA,2,6,2,L262-13,inversion L262-32
code_de_l'action_sociale_et_des_familles,3c13de9,2000-12-23,Législative,NA,2,6,2,L262-40,inversion L262-47
code_de_l'action_sociale_et_des_familles,3c13de9,2000-12-23,Législative,NA,5,4,1,L541-1,inversion L541-9
code_de_l'action_sociale_et_des_familles,3c13de9,2000-12-23,Législative,NA,5,4,2,L542-1,inversion L542-13
code_de_l'action_sociale_et_des_familles,3c13de9,2000-12-23,Législative,NA,5,4,4,L544-1,inversion L544-5
code_de_l'action_sociale_et_des_familles,d3bbd81,2002-01-01,Législative,NA,3,2,2,L322-8,doublon
code_de_l'action_sociale_et_des_familles,d3bbd81,2002-01-01,Législative,NA,3,1,1,L311-1,inversion L322-8
code_de_l'action_sociale_et_des_familles,af99b32,2004-01-01,Législative,NA,2,6,2,L262-2,inversion L262-6-1
code_de_l'action_sociale_et_des_familles,af99b32,2004-01-01,Législative,NA,2,6,2,L262-9-1,inversion L262-12
code_de_l'action_sociale_et_des_familles,af99b32,2004-01-01,Législative,NA,2,6,2,L262-11,inversion L262-12-1
code_de_l'action_sociale_et_des_familles,b1f67cf,2004-10-26,Réglementaire,NA,2,4,1,R241-19,inversion R241-20
code_de_l'action_sociale_et_des_familles,b1f67cf,2004-10-26,Réglementaire,NA,2,4,1,R241-16,inversion R241-19
code_de_l'action_sociale_et_des_familles,b1f67cf,2004-10-26,Réglementaire,NA,2,4,3,R243-5,inversion D243-16
code_de_l'action_sociale_et_des_familles,b1f67cf,2004-10-26,Réglementaire,NA,2,4,3,R243-1,inversion D243-16
code_de_l'action_sociale_et_des_familles,b1f67cf,2004-10-26,Réglementaire,NA,2,6,2,R262-5,inversion R262-7
code_de_l'action_sociale_et_des_familles,b1f67cf,2004-10-26,Réglementaire,NA,2,6,2,R262-3,inversion R262-9
code_de_l'action_sociale_et_des_familles,b1f67cf,2004-10-26,Réglementaire,NA,2,6,2,R262-14,inversion R262-16
code_de_l'action_sociale_et_des_familles,b1f67cf,2004-10-26,Réglementaire,NA,2,6,2,R262-36,inversion R262-44
code_de_l'action_sociale_et_des_familles,b1f67cf,2004-10-26,Réglementaire,NA,3,1,3,R313-7,inversion R313-10
code_de_l'action_sociale_et_des_familles,b1f67cf,2004-10-26,Réglementaire,NA,3,1,4,R314-170,inversion R314-178
code_de_l'action_sociale_et_des_familles,b1f67cf,2004-10-26,Réglementaire,NA,3,1,4,R314-180,inversion R314-184
code_de_l'action_sociale_et_des_familles,b1f67cf,2004-10-26,Réglementaire,NA,3,1,4,R314-187,inversion R314-192
code_de_l'action_sociale_et_des_familles,0f01f83,2005-02-12,Législative,NA,2,4,4,L244-1,doublon
code_de_l'action_sociale_et_des_familles,1c40de7,2005-09-10,Réglementaire,NA,3,1,2,D312-158,inversion D312-160
code_de_l'action_sociale_et_des_familles,0eaaede,2005-12-02,Législative,NA,3,5,1,L351-6,doublon
code_de_l'action_sociale_et_des_familles,f7e843e,2006-05-25,Législative,NA,2,2,7,L227-10,doublon
code_de_l'action_sociale_et_des_familles,dea786e,2006-10-01,Réglementaire,NA,2,6,2,R262-10,inversion R262-11-2
code_de_l'action_sociale_et_des_familles,dea786e,2006-10-01,Réglementaire,NA,2,6,2,R262-11,inversion R262-11-3
code_de_l'action_sociale_et_des_familles,ef36868,2006-12-22,Législative,NA,2,6,2,L262-9,inversion L262-10-1
code_de_l'action_sociale_et_des_familles,941ed6e,2007-02-01,Réglementaire,NA,2,1,4,D214-6,inversion D214-7
code_de_l'action_sociale_et_des_familles,acb42da,2007-05-16,Réglementaire,NA,4,5,1,D451-76,doublon
code_de_l'action_sociale_et_des_familles,8097c38,2008-12-04,Législative,NA,2,6,2,L262-39,inversion L262-43
code_de_l'action_sociale_et_des_familles,8097c38,2008-12-04,Législative,NA,2,6,3,L263-3,inversion L263-5
code_de_l'action_sociale_et_des_familles,f58f9b0,2008-12-29,Législative,NA,3,1,4,L314-4,doublon
code_de_l'action_sociale_et_des_familles,67f4717,2009-03-27,Réglementaire,NA,3,4,4,D344-5-14,doublon
code_de_l'action_sociale_et_des_familles,2952eb8,2010-03-14,Réglementaire,NA,3,1,2,R312-193-1,inversion D312-194
code_de_l'action_sociale_et_des_familles,38ebc5b,2011-09-05,Réglementaire,NA,3,1,2,D312-159-1,inversion D312-161
code_de_l'action_sociale_et_des_familles,a540d32,2012-01-01,Réglementaire,NA,5,4,1,R541-1,inversion R548-1
code_de_l'action_sociale_et_des_familles,3556d29,2013-01-11,Réglementaire,NA,3,1,4,R314-170-1,inversion R314-179
code_de_l'action_sociale_et_des_familles,d5c962d,2015-01-01,Législative,NA,1,4,9,L149-1,inversion L149-2
code_de_l'action_sociale_et_des_familles,c7c88f3,2016-03-01,Réglementaire,NA,2,4,1,R241-15,inversion R241-15-1
code_de_l'action_sociale_et_des_familles,c7a7159,2016-03-19,Réglementaire,NA,3,1,3,R313-1,doublon
code_de_l'action_sociale_et_des_familles,97cc113,2016-12-29,Réglementaire,NA,1,4,9,D149-13,doublon
code_de_l'action_sociale_et_des_familles,58783e8,2017-12-01,Législative,NA,5,4,2,L542-4,doublon
code_de_l'action_sociale_et_des_familles,8874a53,2018-12-31,Législative,NA,3,4,4,L344-2,doublon
code_de_l'aviation_civile,a1b8ea5,1967-04-09,Réglementaire,NA,2,2,4,R224-5,inversion R224-6
code_de_l'aviation_civile,a1b8ea5,1967-04-09,Réglementaire,NA,2,5,2,R252-4,inversion R254-2
code_de_l'aviation_civile,a1b8ea5,1967-04-09,Réglementaire,NA,3,3,0,R330-2,inversion R330-13
code_de_l'aviation_civile,a1b8ea5,1967-04-09,Réglementaire,NA,1,3,1,D131-2,inversion R530-10
code_de_l'aviation_civile,a99c9bb,1971-03-05,Réglementaire,NA,1,2,1,D121-1,inversion R530-10
code_de_l'aviation_civile,d9f8799,1974-02-02,Réglementaire,NA,2,1,3,R213-6,inversion R213-9
code_de_l'aviation_civile,cf7892d,1980-11-21,Réglementaire,NA,4,2,2,D422-1,inversion D422-13
code_de_l'aviation_civile,34082d7,1984-05-12,Réglementaire,NA,2,5,2,R252-2,inversion R254-2
code_de_l'aviation_civile,d9fbda7,1990-01-01,Réglementaire,NA,3,3,0,R330-16,inversion R330-17
code_de_l'aviation_civile,21e2d18,1990-02-17,Réglementaire,NA,2,2,4,R224-1,doublon
code_de_l'aviation_civile,21e2d18,1990-02-17,Réglementaire,NA,2,2,4,R224-2,doublon
code_de_l'aviation_civile,d698c0f,1990-04-14,Réglementaire,NA,3,3,0,R330-4-1,inversion R330-17
code_de_l'aviation_civile,899ab5d,1994-03-01,Réglementaire,NA,3,3,0,R330-1,inversion R330-17
code_de_l'aviation_civile,a050778,1995-09-19,Réglementaire,NA,1,3,1,R131-4,doublon
code_de_l'aviation_civile,3ebe7b7,1996-12-10,Réglementaire,NA,2,2,3,R223-2,doublon
code_de_l'aviation_civile,c94b3c6,1997-10-31,Réglementaire,NA,4,2,2,D422-13,doublon
code_de_l'aviation_civile,ffc1de6,1999-05-26,Réglementaire,NA,2,5,2,R252-3,inversion R254-2
code_de_l'aviation_civile,5026077,2002-01-06,Réglementaire,NA,2,1,7,R217-1,inversion R217-2
code_de_l'aviation_civile,a463d98,2002-09-18,Réglementaire,NA,2,5,2,R252-12,inversion R254-2
code_de_l'aviation_civile,27d0dbe,2005-05-31,Réglementaire,NA,4,2,1,D421-2,doublon
code_de_l'aviation_civile,64980a0,2008-12-18,Législative,NA,4,2,1,L421-9,doublon
code_de_l'aviation_civile,49586d7,2012-07-01,Réglementaire,NA,2,1,3,R213-5,inversion R213-12
code_de_l'aviation_civile,e3bcb86,2018-05-21,Réglementaire,NA,1,1,1,D111-1,inversion R741-1
code_de_l'éducation,87c098d,2002-01-18,Législative,NA,2,3,7,L237-2,doublon
code_de_l'éducation,6f43ea8,2004-07-17,Législative,NA,3,7,2,L372-1,doublon
code_de_l'éducation,6f43ea8,2004-07-17,Législative,NA,6,3,1,L631-1,doublon
code_de_l'éducation,6f43ea8,2004-07-17,Réglementaire,NA,2,2,2,R*222-3,inversion D222-7
code_de_l'éducation,6f43ea8,2004-07-17,Réglementaire,NA,2,2,2,R*222-2,inversion R*222-3
code_de_l'éducation,6f43ea8,2004-07-17,Réglementaire,NA,2,2,2,D222-21,inversion D222-22
code_de_l'éducation,6f43ea8,2004-07-17,Réglementaire,NA,2,2,2,R*222-25,inversion D222-33
code_de_l'éducation,6f43ea8,2004-07-17,Réglementaire,NA,2,3,9,D239-1,inversion D239-10
code_de_l'éducation,c46880e,2006-04-19,Législative,NA,2,6,1,L261-1,doublon
code_de_l'éducation,c46880e,2006-04-19,Législative,NA,2,6,2,L262-1,doublon
code_de_l'éducation,c46880e,2006-04-19,Législative,NA,2,6,3,L263-1,doublon
code_de_l'éducation,8c5bd9c,2006-05-24,Réglementaire,NA,3,3,7,D337-128,inversion D337-137
code_de_l'éducation,8c5bd9c,2006-05-24,Réglementaire,NA,3,3,7,D337-126,inversion D337-128
code_de_l'éducation,8c5bd9c,2006-05-24,Réglementaire,NA,3,3,7,D337-134,inversion D337-138
code_de_l'éducation,8c5bd9c,2006-05-24,Réglementaire,NA,3,3,7,D337-129,inversion D337-134
code_de_l'éducation,8c5bd9c,2006-05-24,Réglementaire,NA,3,3,7,D337-131,inversion D337-136
code_de_l'éducation,c591bbb,2010-06-15,Réglementaire,NA,3,3,2,D332-26,doublon
code_de_l'éducation,41e4dfa,2013-05-25,Législative,NA,2,3,10,L23-10-1,inversion L238-3
code_de_l'éducation,c5b1937,2014-03-16,Réglementaire,NA,7,1,9,D719-41,doublon
code_de_l'éducation,7f6cc02,2014-12-29,Réglementaire,NA,3,1,4,D314-91,inversion D314-106
code_de_l'éducation,36c1787,2015-06-14,Réglementaire,NA,8,2,2,R822-2,inversion R822-6
code_de_l'éducation,36c1787,2015-06-14,Réglementaire,NA,8,2,2,R822-8,inversion R822-11
code_de_l'éducation,36c1787,2015-06-14,Réglementaire,NA,8,2,2,R822-15,inversion R822-22
code_de_l'éducation,36c1787,2015-06-14,Réglementaire,NA,8,2,2,R822-14,inversion R822-15
code_de_l'éducation,36c1787,2015-06-14,Réglementaire,NA,8,2,2,R822-24,inversion R822-25
code_de_l'éducation,36c1787,2015-06-14,Réglementaire,NA,8,2,2,R822-26,inversion R822-29
code_de_l'éducation,909bf73,2016-05-01,Réglementaire,NA,7,1,9,D719-47,inversion D719-47-5
code_de_l'éducation,48a09d8,2016-11-28,Réglementaire,NA,6,3,2,R632-24,inversion R632-33
code_de_l'éducation,b83c6b0,2018-01-01,Réglementaire,NA,3,1,2,D312-28,inversion D312-37-1
code_de_l'éducation,d483e79,2018-03-11,Réglementaire,NA,6,1,2,D612-1,inversion D612-1-10
code_de_l'éducation,d483e79,2018-03-11,Réglementaire,NA,6,1,2,D612-1-11,inversion D612-1-17
code_de_l'éducation,d483e79,2018-03-11,Réglementaire,NA,6,1,2,D612-1-1,inversion D612-1-18
code_de_l'éducation,d483e79,2018-03-11,Réglementaire,NA,6,1,2,D612-1-2,inversion D612-1-19
code_de_l'éducation,d483e79,2018-03-11,Réglementaire,NA,6,1,2,D612-1-3,inversion D612-1-15
code_de_l'éducation,9c61db3,2019-10-07,Réglementaire,NA,6,3,3,R633-17,inversion D633-17-2
code_de_l'éducation,2f0dd71,2019-11-22,Réglementaire,NA,2,2,2,R222-30,inversion R222-34
code_de_l'éducation,6323ed1,2020-11-06,Réglementaire,NA,3,7,3,D373-2-1,doublon
code_de_l'éducation,1fc4812,2021-01-01,Réglementaire,NA,3,3,7,D337-29,doublon
code_de_l'éducation,1fc4812,2021-01-01,Réglementaire,NA,3,3,7,D337-39,doublon
code_de_l'éducation,1fc4812,2021-01-01,Réglementaire,NA,3,3,7,D337-40,doublon
code_de_l'entrée_et_du_séjour_des_étrangers_et_du_droit_d'asile,1c3ffe0,2005-03-01,Législative,NA,5,1,2,L512-5,inversion L514-1
code_de_l'entrée_et_du_séjour_des_étrangers_et_du_droit_d'asile,560275b,2006-11-15,Réglementaire,NA,3,1,3,R313-21,inversion R313-32
code_de_l'entrée_et_du_séjour_des_étrangers_et_du_droit_d'asile,560275b,2006-11-15,Réglementaire,NA,7,3,3,R733-5,inversion R733-6
code_de_l'entrée_et_du_séjour_des_étrangers_et_du_droit_d'asile,560275b,2006-11-15,Réglementaire,NA,7,3,3,R733-7,inversion R733-8
code_de_l'entrée_et_du_séjour_des_étrangers_et_du_droit_d'asile,6e85610,2006-12-31,Réglementaire,NA,3,1,1,R311-25,inversion R311-26
code_de_l'entrée_et_du_séjour_des_étrangers_et_du_droit_d'asile,9fa4656,2007-03-22,Réglementaire,NA,3,1,3,R313-20,inversion R313-22-1
code_de_l'entrée_et_du_séjour_des_étrangers_et_du_droit_d'asile,9fa4656,2007-03-22,Réglementaire,NA,3,1,3,R313-34-2,inversion R313-34-4
code_de_l'entrée_et_du_séjour_des_étrangers_et_du_droit_d'asile,5939582,2013-08-19,Réglementaire,NA,7,3,3,R733-8,doublon
