Dossier,Date,Commit,Article,LignesModifiées
"code_civil",2013-05-19,"Version consolidée au 19 mai 2013","code_civil.md",94
"code_civil",2013-01-01,"Version consolidée au 1er janvier 2013","code_civil.md",94
"code_civil",2012-10-01,"Version consolidée au 1er octobre 2012","code_civil.md",36
"code_civil",2012-06-02,"Version consolidée au 2 juin 2012","code_civil.md",4
"code_civil",2012-06-01,"Version consolidée au 1er juin 2012","code_civil.md",170
"code_civil",2012-03-24,"Version consolidée au 24 mars 2012","code_civil.md",4
"code_civil",2012-01-01,"Version consolidée au 1er janvier 2012","code_civil.md",36
"code_civil",2011-12-15,"Version consolidée au 15 décembre 2011","code_civil.md",12
"code_civil",2011-09-01,"Version consolidée au 1er septembre 2011","code_civil.md",40
"code_civil",2011-07-09,"Version consolidée au 9 juillet 2011","code_civil.md",6
"code_civil",2011-06-18,"Version consolidée au 18 juin 2011","code_civil.md",24
"code_civil",2011-05-19,"Version consolidée au 19 mai 2011","code_civil.md",40
"code_civil",2011-05-01,"Version consolidée au 1er mai 2011","code_civil.md",20
"code_civil",2011-04-01,"Version consolidée au 1er avril 2011","code_civil.md",28
"code_civil",2011-03-31,"Version consolidée au 31 mars 2011","code_civil.md",16
"code_civil",2011-03-30,"Version consolidée au 30 mars 2011","code_civil.md",38
"code_civil",2011-03-16,"Version consolidée au 16 mars 2011","code_civil.md",14
"code_civil",2010-12-24,"Version consolidée au 24 décembre 2010","code_civil.md",10
"code_civil",2010-11-11,"Version consolidée au 11 novembre 2010","code_civil.md",2
"code_civil",2010-10-01,"Version consolidée au 1er octobre 2010","code_civil.md",48
"code_civil",2010-07-11,"Version consolidée au 11 juillet 2010","code_civil.md",20
"code_civil",2010-06-17,"Version consolidée au 17 juin 2010","code_civil.md",14
"code_civil",2010-06-05,"Version consolidée au 5 juin 2010","code_civil.md",4
"code_civil",2010-05-08,"Version consolidée au 8 mai 2010","code_civil.md",30
"code_civil",2010-02-26,"Version consolidée au 26 février 2010","code_civil.md",2
"code_civil",2010-01-01,"Version consolidée au 1er janvier 2010","code_civil.md",18
"code_civil",2009-11-26,"Version consolidée au 26 novembre 2009","code_civil.md",12
"code_civil",2009-06-01,"Version consolidée au 1er juin 2009","code_civil.md",6
"code_civil",2009-05-29,"Version consolidée au 29 mai 2009","code_civil.md",8
"code_civil",2009-05-14,"Version consolidée au 14 mai 2009","code_civil.md",204
"code_civil",2009-04-01,"Version consolidée au 1er avril 2009","code_civil.md",2
"code_civil",2009-03-28,"Version consolidée au 28 mars 2009","code_civil.md",18
"code_civil",2009-02-01,"Version consolidée au 1er février 2009","code_civil.md",146
"code_civil",2009-01-19,"Version consolidée au 19 janvier 2009","code_civil.md",42
"code_civil",2009-01-01,"Version consolidée au 1er janvier 2009","code_civil.md",1229
"code_civil",2008-12-21,"Version consolidée au 21 décembre 2008","code_civil.md",8
"code_civil",2008-08-06,"Version consolidée au 6 août 2008","code_civil.md",18
"code_civil",2008-07-01,"Version consolidée au 1er juillet 2008","code_civil.md",14
"code_civil",2008-06-19,"Version consolidée au 19 juin 2008","code_civil.md",329
"code_civil",2008-05-28,"Version consolidée au 28 mai 2008","code_civil.md",2
"code_civil",2008-01-01,"Version consolidée au 1er janvier 2008","code_civil.md",58
"code_civil",2007-12-22,"Version consolidée au 22 décembre 2007","code_civil.md",19
"code_civil",2007-11-21,"Version consolidée au 21 novembre 2007","code_civil.md",18
"code_civil",2007-07-01,"Version consolidée au 1er juillet 2007","code_civil.md",8
"code_civil",2007-03-30,"Version consolidée au 30 mars 2007","code_civil.md",30
"code_civil",2007-03-07,"Version consolidée au 7 mars 2007","code_civil.md",18
"code_civil",2007-03-06,"Version consolidée au 6 mars 2007","code_civil.md",68
"code_civil",2007-03-01,"Version consolidée au 1er mars 2007","code_civil.md",122
"code_civil",2007-02-22,"Version consolidée au 22 février 2007","code_civil.md",2
"code_civil",2007-02-21,"Version consolidée au 21 février 2007","code_civil.md",192
"code_civil",2007-02-16,"Version consolidée au 16 février 2007","code_civil.md",24
"code_civil",2007-01-26,"Version consolidée au 26 janvier 2007","code_civil.md",10
"code_civil",2007-01-12,"Version consolidée au 12 janvier 2007","code_civil.md",31
"code_civil",2007-01-01,"Version consolidée au 1er janvier 2007","code_civil.md",2222
"code_civil",2006-11-15,"Version consolidée au 15 novembre 2006","code_civil.md",10
"code_civil",2006-07-25,"Version consolidée au 25 juillet 2006","code_civil.md",106
"code_civil",2006-07-01,"Version consolidée au 1er juillet 2006","code_civil.md",576
"code_civil",2006-04-06,"Version consolidée au 6 avril 2006","code_civil.md",2
"code_civil",2006-04-05,"Version consolidée au 5 avril 2006","code_civil.md",24
"code_civil",2006-03-24,"Version consolidée au 24 mars 2006","code_civil.md",2324
"code_civil",2006-03-14,"Version consolidée au 14 mars 2006","code_civil.md",12
"code_civil",2006-01-24,"Version consolidée au 24 janvier 2006","code_civil.md",2
"code_civil",2006-01-01,"Version consolidée au 1er janvier 2006","code_civil.md",32
"code_civil",2005-08-03,"Version consolidée au 3 août 2005","code_civil.md",4
"code_civil",2005-07-05,"Version consolidée au 5 juillet 2005","code_civil.md",2
"code_civil",2005-07-01,"Version consolidée au 1er juillet 2005","code_civil.md",8
"code_civil",2005-06-17,"Version consolidée au 17 juin 2005","code_civil.md",72
"code_civil",2005-06-09,"Version consolidée au 9 juin 2005","code_civil.md",14
"code_civil",2005-05-07,"Version consolidée au 7 mai 2005","code_civil.md",8
"code_civil",2005-02-18,"Version consolidée au 18 février 2005","code_civil.md",2
"code_civil",2005-02-12,"Version consolidée au 12 février 2005","code_civil.md",2
"code_civil",2005-01-19,"Version consolidée au 19 janvier 2005","code_civil.md",4
"code_civil",2005-01-01,"Version consolidée au 1er janvier 2005","code_civil.md",703
"code_civil",2004-12-10,"Version consolidée au 10 décembre 2004","code_civil.md",8
"code_civil",2004-11-21,"Version consolidée au 21 novembre 2004","code_civil.md",2
"code_civil",2004-08-17,"Version consolidée au 17 août 2004","code_civil.md",10
"code_civil",2004-08-07,"Version consolidée au 7 août 2004","code_civil.md",14
"code_civil",2004-06-26,"Version consolidée au 26 juin 2004","code_civil.md",82
"code_civil",2004-06-22,"Version consolidée au 22 juin 2004","code_civil.md",46
"code_civil",2004-06-01,"Version consolidée au 1er juin 2004","code_civil.md",126
"code_civil",2004-01-03,"Version consolidée au 3 janvier 2004","code_civil.md",2
"code_civil",2003-11-27,"Version consolidée au 27 novembre 2003","code_civil.md",65
"code_civil",2003-09-01,"Version consolidée au 1er septembre 2003","code_civil.md",6
"code_civil",2002-07-01,"Version consolidée au 1er juillet 2002","code_civil.md",466
"code_civil",2002-03-05,"Version consolidée au 5 mars 2002","code_civil.md",336
"code_civil",2002-01-23,"Version consolidée au 23 janvier 2002","code_civil.md",2
"code_civil",2002-01-01,"Version consolidée au 1er janvier 2002","code_civil.md",12
"code_civil",2001-12-12,"Version consolidée au 12 décembre 2001","code_civil.md",4
"code_civil",2001-12-04,"Version consolidée au 4 décembre 2001","code_civil.md",110
"code_civil",2001-06-01,"Version consolidée au 1er juin 2001","code_civil.md",4
"code_civil",2001-05-16,"Version consolidée au 16 mai 2001","code_civil.md",6
"code_civil",2001-02-08,"Version consolidée au 8 février 2001","code_civil.md",20
"code_civil",2000-12-14,"Version consolidée au 14 décembre 2000","code_civil.md",2
"code_civil",2000-07-01,"Version consolidée au 1er juillet 2000","code_civil.md",131
"code_civil",2000-06-16,"Version consolidée au 16 juin 2000","code_civil.md",14
"code_civil",2000-03-14,"Version consolidée au 14 mars 2000","code_civil.md",64
"code_civil",2000-01-01,"Version consolidée au 1er janvier 2000","code_civil.md",2
"code_civil",1999-12-30,"Version consolidée au 30 décembre 1999","code_civil.md",38
"code_civil",1999-12-29,"Version consolidée au 29 décembre 1999","code_civil.md",32
"code_civil",1999-11-16,"Version consolidée au 16 novembre 1999","code_civil.md",90
"code_civil",1999-07-10,"Version consolidée au 10 juillet 1999","code_civil.md",14
"code_civil",1999-01-07,"Version consolidée au 7 janvier 1999","code_civil.md",6
"code_civil",1998-09-01,"Version consolidée au 1er septembre 1998","code_civil.md",132
"code_civil",1998-07-31,"Version consolidée au 31 juillet 1998","code_civil.md",16
"code_civil",1998-07-01,"Version consolidée au 1er juillet 1998","code_civil.md",68
"code_civil",1998-06-18,"Version consolidée au 18 juin 1998","code_civil.md",4
"code_civil",1998-06-16,"Version consolidée au 16 juin 1998","code_civil.md",6
"code_civil",1998-05-21,"Version consolidée au 21 mai 1998","code_civil.md",108
"code_civil",1998-05-19,"Version consolidée au 19 mai 1998","code_civil.md",6
"code_civil",1998-04-07,"Version consolidée au 7 avril 1998","code_civil.md",52
"code_civil",1998-02-07,"Version consolidée au 7 février 1998","code_civil.md",80
"code_civil",1997-10-29,"Version consolidée au 29 octobre 1997","code_civil.md",32
"code_civil",1997-01-01,"Version consolidée au 1er janvier 1997","code_civil.md",4
"code_civil",1996-07-06,"Version consolidée au 6 juillet 1996","code_civil.md",92
"code_civil",1996-07-04,"Version consolidée au 4 juillet 1996","code_civil.md",4
"code_civil",1996-05-29,"Version consolidée au 29 mai 1996","code_civil.md",2
"code_civil",1995-08-01,"Version consolidée au 1er août 1995","code_civil.md",4
"code_civil",1995-05-09,"Version consolidée au 9 mai 1995","code_civil.md",78
"code_civil",1995-02-09,"Version consolidée au 9 février 1995","code_civil.md",78
"code_civil",1995-02-02,"Version consolidée au 2 février 1995","code_civil.md",4
"code_civil",1995-01-01,"Version consolidée au 1er janvier 1995","code_civil.md",16
"code_civil",1994-10-01,"Version consolidée au 1er octobre 1994","code_civil.md",10
"code_civil",1994-07-30,"Version consolidée au 30 juillet 1994","code_civil.md",136
"code_civil",1994-07-26,"Version consolidée au 26 juillet 1994","code_civil.md",2
"code_civil",1994-07-01,"Version consolidée au 1er juillet 1994","code_civil.md",4
"code_civil",1994-03-01,"Version consolidée au 1er mars 1994","code_civil.md",118
"code_civil",1994-02-13,"Version consolidée au 13 février 1994","code_civil.md",2
"code_civil",1994-02-01,"Version consolidée au 1er février 1994","code_civil.md",160
"code_civil",1994-01-01,"Version consolidée au 1er janvier 1994","code_civil.md",86
"code_civil",1993-09-02,"Version consolidée au 2 septembre 1993","code_civil.md",10
"code_civil",1993-08-29,"Version consolidée au 29 août 1993","code_civil.md",22
"code_civil",1993-07-23,"Version consolidée au 23 juillet 1993","code_civil.md",490
"code_civil",1993-01-09,"Version consolidée au 9 janvier 1993","code_civil.md",218
"code_civil",1993-01-05,"Version consolidée au 5 janvier 1993","code_civil.md",6
"code_civil",1992-12-12,"Version consolidée au 12 décembre 1992","code_civil.md",2
"code_civil",1992-08-01,"Version consolidée au 1er août 1992","code_civil.md",80
"code_civil",1992-07-14,"Version consolidée au 14 juillet 1992","code_civil.md",14
"code_civil",1991-12-01,"Version consolidée au 1er décembre 1991","code_civil.md",8
"code_civil",1990-01-04,"Version consolidée au 4 janvier 1990","code_civil.md",72
"code_civil",1990-01-02,"Version consolidée au 2 janvier 1990","code_civil.md",64
"code_civil",1989-12-20,"Version consolidée au 20 décembre 1989","code_civil.md",4
"code_civil",1989-07-14,"Version consolidée au 14 juillet 1989","code_civil.md",8
"code_civil",1988-01-23,"Version consolidée au 23 janvier 1988","code_civil.md",12
"code_civil",1988-01-06,"Version consolidée au 6 janvier 1988","code_civil.md",46
"code_civil",1987-07-24,"Version consolidée au 24 juillet 1987","code_civil.md",78
"code_civil",1986-07-01,"Version consolidée au 1er juillet 1986","code_civil.md",565
"code_civil",1986-01-08,"Version consolidée au 8 janvier 1986","code_civil.md",2
"code_civil",1986-01-07,"Version consolidée au 7 janvier 1986","code_civil.md",12
"code_civil",1986-01-01,"Version consolidée au 1er janvier 1986","code_civil.md",18
"code_civil",1985-10-15,"Version consolidée au 15 octobre 1985","code_civil.md",8
"code_civil",1985-07-13,"Version consolidée au 13 juillet 1985","code_civil.md",8
"code_civil",1985-07-12,"Version consolidée au 12 juillet 1985","code_civil.md",6
"code_civil",1985-07-01,"Version consolidée au 1er juillet 1985","code_civil.md",4
"code_civil",1985-03-01,"Version consolidée au 1er mars 1985","code_civil.md",2
"code_civil",1984-10-01,"Version consolidée au 1er octobre 1984","code_civil.md",46
"code_civil",1984-07-13,"Version consolidée au 13 juillet 1984","code_civil.md",6
"code_civil",1982-07-13,"Version consolidée au 13 juillet 1982","code_civil.md",46
"code_civil",1982-06-26,"Version consolidée au 26 juin 1982","code_civil.md",6
"code_civil",1982-02-06,"Version consolidée au 6 février 1982","code_civil.md",14
"code_civil",1981-12-31,"Version consolidée au 31 décembre 1981","code_civil.md",2
"code_civil",1981-05-14,"Version consolidée au 14 mai 1981","code_civil.md",26
"code_civil",1981-01-08,"Version consolidée au 8 janvier 1981","code_civil.md",8
"code_civil",1980-07-13,"Version consolidée au 13 juillet 1980","code_civil.md",48
"code_civil",1980-07-05,"Version consolidée au 5 juillet 1980","code_civil.md",28
"code_civil",1979-01-04,"Version consolidée au 4 janvier 1979","code_civil.md",34
"code_civil",1979-01-03,"Version consolidée au 3 janvier 1979","code_civil.md",16
"code_civil",1979-01-01,"Version consolidée au 1er janvier 1979","code_civil.md",122
"code_civil",1978-07-01,"Version consolidée au 1er juillet 1978","code_civil.md",480
"code_civil",1978-06-11,"Version consolidée au 11 juin 1978","code_civil.md",14
"code_civil",1978-03-31,"Version consolidée au 31 mars 1978","code_civil.md",142
"code_civil",1977-12-30,"Version consolidée au 30 décembre 1977","code_civil.md",12
"code_civil",1977-12-29,"Version consolidée au 29 décembre 1977","code_civil.md",14
"code_civil",1977-07-01,"Version consolidée au 1er juillet 1977","code_civil.md",162
"code_civil",1976-12-23,"Version consolidée au 23 décembre 1976","code_civil.md",86
"code_civil",1976-07-01,"Version consolidée au 1er juillet 1976","code_civil.md",64
"code_civil",1976-01-01,"Version consolidée au 1er janvier 1976","code_civil.md",676
"code_civil",1975-07-10,"Version consolidée au 10 juillet 1975","code_civil.md",38
"code_civil",1975-07-09,"Version consolidée au 9 juillet 1975","code_civil.md",12
"code_civil",1974-07-07,"Version consolidée au 7 juillet 1974","code_civil.md",70
"code_civil",1973-12-27,"Version consolidée au 27 décembre 1973","code_civil.md",20
"code_civil",1972-12-31,"Version consolidée au 31 décembre 1972","code_civil.md",16
"code_civil",1972-09-16,"Version consolidée au 16 septembre 1972","code_civil.md",12
"code_civil",1972-08-01,"Version consolidée au 1er août 1972","code_civil.md",704
"code_civil",1972-07-13,"Version consolidée au 13 juillet 1972","code_civil.md",12
"code_civil",1972-07-09,"Version consolidée au 9 juillet 1972","code_civil.md",32
"code_civil",1972-01-01,"Version consolidée au 1er janvier 1972","code_civil.md",186
"code_civil",1971-07-17,"Version consolidée au 17 juillet 1971","code_civil.md",52
"code_civil",1971-07-08,"Version consolidée au 8 juillet 1971","code_civil.md",6
"code_civil",1971-06-27,"Version consolidée au 27 juin 1971","code_civil.md",6
"code_civil",1971-01-01,"Version consolidée au 1er janvier 1971","code_civil.md",260
"code_civil",1970-12-29,"Version consolidée au 29 décembre 1970","code_civil.md",4
"code_civil",%as,"Version consolidée au 1er janvier 1970","code_civil.md",2
"code_civil",%as,"Version consolidée au 28 novembre 1968","code_civil.md",32
"code_civil",%as,"Version consolidée au 1er novembre 1968","code_civil.md",266
"code_civil",%as,"Version consolidée au 4 juillet 1968","code_civil.md",32
"code_civil",%as,"Version consolidée au 3 janvier 1968","code_civil.md",12
"code_civil",%as,"Version consolidée au 1er janvier 1968","code_civil.md",12
"code_civil",%as,"Version consolidée au 29 décembre 1967","code_civil.md",6
"code_civil",%as,"Version consolidée au 29 septembre 1967","code_civil.md",42
"code_civil",%as,"Version consolidée au 1er août 1967","code_civil.md",10
"code_civil",%as,"Version consolidée au 9 juillet 1967","code_civil.md",34
"code_civil",%as,"Version consolidée au 1er juillet 1967","code_civil.md",12
"code_civil",%as,"Version consolidée au 29 décembre 1966","code_civil.md",6
"code_civil",%as,"Version consolidée au 1er novembre 1966","code_civil.md",186
"code_civil",%as,"Version consolidée au 14 juillet 1966","code_civil.md",4
"code_civil",%as,"Version consolidée au 10 juin 1966","code_civil.md",12
"code_civil",%as,"Version consolidée au 1er février 1966","code_civil.md",1018
"code_civil",%as,"Version consolidée au 1er janvier 1966","code_civil.md",10
"code_civil",%as,"Version consolidée au 14 juillet 1965","code_civil.md",22
"code_civil",%as,"Version consolidée au 15 juin 1965","code_civil.md",444
"code_civil",%as,"Version consolidée au 5 juin 1965","code_civil.md",20
"code_civil",%as,"Version consolidée au 1er février 1965","code_civil.md",4
"code_civil",%as,"Version consolidée au 15 décembre 1964","code_civil.md",62
"code_civil",%as,"Version consolidée au 15 juin 1964","code_civil.md",8
"code_civil",%as,"Version consolidée au 17 mai 1964","code_civil.md",14
"code_civil",%as,"Version consolidée au 7 novembre 1963","code_civil.md",8
"code_civil",%as,"Version consolidée au 9 août 1962","code_civil.md",28
"code_civil",%as,"Version consolidée au 7 août 1962","code_civil.md",6
"code_civil",%as,"Version consolidée au 20 décembre 1961","code_civil.md",4
"code_civil",%as,"Version consolidée au 18 mai 1960","code_civil.md",54
"code_civil",%as,"Version consolidée au 31 mars 1960","code_civil.md",4
"code_civil",%as,"Version consolidée au 12 janvier 1960","code_civil.md",12
"code_civil",%as,"Version consolidée au 8 janvier 1959","code_civil.md",198
"code_civil",%as,"Version consolidée au 25 décembre 1958","code_civil.md",14
"code_civil",%as,"Version consolidée au 24 décembre 1958","code_civil.md",8
"code_civil",%as,"Version consolidée au 28 octobre 1958","code_civil.md",4
"code_civil",%as,"Version consolidée au 9 octobre 1958","code_civil.md",4
"code_civil",%as,"Version consolidée au 30 août 1958","code_civil.md",72
"code_civil",%as,"Version consolidée au 30 avril 1958","code_civil.md",6
"code_civil",%as,"Version consolidée au 29 novembre 1957","code_civil.md",4
"code_civil",%as,"Version consolidée au 20 novembre 1957","code_civil.md",4
"code_civil",%as,"Version consolidée au 27 mars 1957","code_civil.md",6
"code_civil",%as,"Version consolidée au 7 août 1956","code_civil.md",18
"code_civil",%as,"Version consolidée au 7 janvier 1955","code_civil.md",124
"code_civil",%as,"Version consolidée au 9 décembre 1950","code_civil.md",56
"code_civil",%as,"Version consolidée au 26 août 1948","code_civil.md",42
"code_civil",%as,"Version consolidée au 22 février 1948","code_civil.md",40
"code_civil",%as,"Version consolidée au 7 octobre 1946","code_civil.md",8
"code_civil",%as,"Version consolidée au 14 avril 1946","code_civil.md",26
"code_civil",%as,"Version consolidée au 2 novembre 1945","code_civil.md",8
"code_civil",%as,"Version consolidée au 18 octobre 1945","code_civil.md",16
"code_civil",%as,"Version consolidée au 29 mars 1945","code_civil.md",18
"code_civil",%as,"Version consolidée au 4 novembre 1942","code_civil.md",26
"code_civil",%as,"Version consolidée au 22 septembre 1942","code_civil.md",38
"code_civil",%as,"Version consolidée au 15 juillet 1942","code_civil.md",8
"code_civil",%as,"Version consolidée au 9 octobre 1941","code_civil.md",14
"code_civil",%as,"Version consolidée au 15 juin 1941","code_civil.md",26
"code_civil",%as,"Version consolidée au 19 juin 1939","code_civil.md",14
"code_civil",%as,"Version consolidée au 12 novembre 1938","code_civil.md",2
"code_civil",%as,"Version consolidée au 30 juin 1938","code_civil.md",6
"code_civil",%as,"Version consolidée au 19 février 1938","code_civil.md",8
"code_civil",%as,"Version consolidée au 18 février 1938","code_civil.md",18
"code_civil",%as,"Version consolidée au 22 août 1936","code_civil.md",10
"code_civil",%as,"Version consolidée au 4 février 1934","code_civil.md",10
"code_civil",%as,"Version consolidée au 15 mars 1933","code_civil.md",14
"code_civil",%as,"Version consolidée au 19 février 1933","code_civil.md",4
"code_civil",%as,"Version consolidée au 2 février 1933","code_civil.md",38
"code_civil",%as,"Version consolidée au 10 mars 1932","code_civil.md",10
"code_civil",%as,"Version consolidée au 3 décembre 1930","code_civil.md",8
"code_civil",%as,"Version consolidée au 30 juillet 1930","code_civil.md",8
"code_civil",%as,"Version consolidée au 11 juillet 1929","code_civil.md",6
"code_civil",%as,"Version consolidée au 10 août 1927","code_civil.md",8
"code_civil",%as,"Version consolidée au 17 juillet 1927","code_civil.md",6
"code_civil",%as,"Version consolidée au 8 avril 1927","code_civil.md",12
"code_civil",%as,"Version consolidée au 7 février 1924","code_civil.md",16
"code_civil",%as,"Version consolidée au 28 octobre 1922","code_civil.md",16
"code_civil",%as,"Version consolidée au 28 février 1922","code_civil.md",6
"code_civil",%as,"Version consolidée au 15 février 1921","code_civil.md",8
"code_civil",%as,"Version consolidée au 27 octobre 1919","code_civil.md",4
"code_civil",%as,"Version consolidée au 9 août 1919","code_civil.md",14
"code_civil",%as,"Version consolidée au 1er mars 1918","code_civil.md",18
"code_civil",%as,"Version consolidée au 28 juillet 1915","code_civil.md",10
"code_civil",%as,"Version consolidée au 31 décembre 1910","code_civil.md",6
"code_civil",%as,"Version consolidée au 17 mars 1909","code_civil.md",4
"code_civil",%as,"Version consolidée au 21 juin 1907","code_civil.md",20
"code_civil",%as,"Version consolidée au 21 janvier 1907","code_civil.md",4
"code_civil",%as,"Version consolidée au 17 mai 1900","code_civil.md",14
"code_civil",%as,"Version consolidée au 10 avril 1900","code_civil.md",4
"code_civil",%as,"Version consolidée au 8 avril 1898","code_civil.md",36
"code_civil",%as,"Version consolidée au 24 mars 1898","code_civil.md",6
"code_civil",%as,"Version consolidée au 20 juin 1896","code_civil.md",10
"code_civil",%as,"Version consolidée au 29 août 1893","code_civil.md",4
"code_civil",%as,"Version consolidée au 8 juin 1893","code_civil.md",74
"code_civil",%as,"Version consolidée au 11 juillet 1892","code_civil.md",6
"code_civil",%as,"Version consolidée au 28 décembre 1890","code_civil.md",16
"code_civil",%as,"Version consolidée au 26 août 1881","code_civil.md",66
"code_civil",%as,"Version consolidée au 23 juillet 1867","code_civil.md",8
"code_civil",%as,"Version consolidée au 29 mars 1864","code_civil.md",6
"code_civil",%as,"Version consolidée au 31 mai 1854","code_civil.md",14
"code_civil",%as,"Version consolidée au 11 mai 1849","code_civil.md",6
"code_civil",%as,"Version consolidée au 14 juillet 1819","code_civil.md",8
"code_civil",%as,"Version consolidée au 30 mars 1804","code_civil.md",78
"code_civil",%as,"Version consolidée au 29 mars 1804","code_civil.md",342
"code_civil",%as,"Version consolidée au 26 mars 1804","code_civil.md",142
"code_civil",%as,"Version consolidée au 25 mars 1804","code_civil.md",284
"code_civil",%as,"Version consolidée au 24 mars 1804","code_civil.md",224
"code_civil",%as,"Version consolidée au 20 mars 1804","code_civil.md",244
"code_civil",%as,"Version consolidée au 19 mars 1804","code_civil.md",204
"code_civil",%as,"Version consolidée au 17 mars 1804","code_civil.md",810
"code_civil",%as,"Version consolidée au 16 mars 1804","code_civil.md",608
"code_civil",%as,"Version consolidée au 24 février 1804","code_civil.md",188
"code_civil",%as,"Version consolidée au 19 février 1804","code_civil.md",94
"code_civil",%as,"Version consolidée au 17 février 1804","code_civil.md",1442
"code_civil",%as,"Version consolidée au 10 février 1804","code_civil.md",258
"code_civil",%as,"Version consolidée au 9 février 1804","code_civil.md",292
"code_civil",%as,"Version consolidée au 6 février 1804","code_civil.md",116
"code_civil",%as,"Version consolidée au 4 février 1804","code_civil.md",182
"code_civil",%as,"Version consolidée au 31 janvier 1804","code_civil.md",10
"code_civil",%as,"Version consolidée au 10 janvier 1804","code_civil.md",12
"code_civil",%as,"Version consolidée au 13 mai 1803","code_civil.md",730
"code_civil",%as,"Version consolidée au 29 avril 1803","code_civil.md",502
"code_civil",%as,"Version consolidée au 5 avril 1803","code_civil.md",26
"code_civil",%as,"Version consolidée au 27 mars 1803","code_civil.md",144
